"name","lat","lon","address","source","cat"
"Grand Windsor Hotel Auckland","-36.84556","174.76656","Auckland Central Auckland 1010 New Zealand","here","hotel"
"Hubbard Dianetics Foundation","-36.86408","174.76201","Grafton Auckland 1023 New Zealand","here","medical"
"Shakespeare Tavern & Hotel","-36.84433","174.76534","Fanshawe St Auckland Central Auckland 1010 New Zealand","here","hotel"
"Upstairs Antiques","-36.84511","174.7667","Auckland Central Auckland 1010 New Zealand","here","shop"
"Carter Atmore Law","-36.856919","174.763923","Grafton Auckland 1023 New Zealand","here","office"
"Discstation","-36.85809","174.76277","Grafton Auckland 1023 New Zealand","here","shop"
"Brian Moorwood","-36.84762","174.76855","Auckland Central Auckland 1010 New Zealand","here","shop"
"Life Insurance Policy Exchange","-36.84876","174.76682","Auckland Central Auckland 1010 New Zealand","here","office"
"Japan External Trade Organisation","-36.84992","174.76286","Auckland Central Auckland 1010 New Zealand","here","government"
"Auckland Convention Centre","-36.84938","174.76306","Auckland Central Auckland 1010 New Zealand","here","grocery"
"Mayoral Dr Overbridge","-36.854194","174.76272","Auckland Central Auckland 1010 New Zealand","here","delete"
"The Lobby","-36.84918","174.76235","Auckland Central Auckland 1010 New Zealand","here","bar"
"Cromwell House & Hospital","-36.88337","174.77665","Epsom Auckland 1023 New Zealand","here","medical"
"District Dining","-36.84552","174.76995","Auckland Central Auckland 1010 New Zealand","here","restaurant"
"Star Convenience Store","-36.85639","174.76352","Grafton Auckland 1023 New Zealand","here","grocery"
"Edit.","-36.84808","174.76758","Auckland Central Auckland 1010 New Zealand","here","shop"
"Four Square","-36.88063","174.76172","Mount Eden Auckland 1024 New Zealand","here","restaurant"
"Chapman Onion Exports","-36.84945","174.75371","Auckland Central Auckland 1010 New Zealand","here","shop"
"Theater Cafe Bar","-36.85329","174.76348","Auckland Central Auckland 1010 New Zealand","here","cafe"
"Three Beans Coffee","-36.850325","174.758582","Auckland Central Auckland 1010 New Zealand","here","cafe"
"The Killingroom","-36.87069","174.74469","Kingsland Auckland 1021 New Zealand","here","office"
"Express Car Rental","-36.84931","174.77816","Parnell Auckland 1052 New Zealand","here","car"
"Japan External Trade Organisation","-36.84992","174.76286","Auckland Central Auckland 1010 New Zealand","here","government"
"La Porchetta","-36.84748","174.76182","Auckland Central Auckland 1010 New Zealand","here","restaurant"
"Solo Espresso","-36.8444","174.76395","Auckland Central Auckland 1010 New Zealand","here","cafe"
"Austin Autobody","-36.85303","174.76713","Auckland Central Auckland 1010 New Zealand","here","car"
"Tactics Restaurant","-36.84285","174.76456","Auckland Central Auckland 1010 New Zealand","here","restaurant"
"The Counter","-36.85323","174.76517","Auckland Central Auckland 1010 New Zealand","here","government"
"One Hobson Restaurant & Bar","-36.84498","174.76305","10 Hobson St Auckland Central Auckland 1010 New Zealand","here","restaurant"
"Amada Cruises","-36.845276","174.7584","16 Viaduct Harbour Ave Auckland Central Auckland 1010 New Zealand","here","activities"
"Shaolin Monks Wheel of Life","-36.850605","174.76263","Auckland Central Auckland 1010 New Zealand","here","activities"
"La Zeppa","-36.84876","174.75405","Auckland Central Auckland 1010 New Zealand","here","restaurant"
"Freemans Bay Community Centre","-36.85321","174.75147","Freemans Bay Auckland 1011 New Zealand","here","government"
"Consulate of Uruguay","-36.84534","174.75812","Auckland Central Auckland 1010 New Zealand","here","government"
"Tank","-36.84807","174.75865","Auckland Central Auckland 1010 New Zealand","here","restaurant"
"Pregnancy Help","-36.84678","174.76379","Auckland Central Auckland 1010 New Zealand","here","medical"
"Natural Grace Chiropractic Centre","-36.85702","174.73468","Grey Lynn Auckland 1021 New Zealand","here","medical"
"Ecostore","-36.84861","174.75067","Freemans Bay Auckland 1011 New Zealand","here","shop"
"Karen Walker","-36.84749","174.76711","Auckland Central Auckland 1010 New Zealand","here","shop"
"Sturdee St Near Pakenham St","-36.844683","174.761982","Auckland Central Auckland 1010 New Zealand","here","delete"
"Greys Ave Deli","-36.85541","174.75964","Auckland Central Auckland 1010 New Zealand","here","restaurant"
"Pandoro Panetteria","-36.85924","174.7829","Parnell Auckland 1052 New Zealand","here","shop"
"The Peace Place","-36.84612","174.7711","Auckland Central Auckland 1010 New Zealand","here","religion"
"Auckland Central Police Station","-36.85179","174.76031","Auckland Central Auckland 1010 New Zealand","here","government"
"Herald Theater","-36.85137","174.76188","Auckland Central Auckland 1010 New Zealand","here","activities"
"Commerce Street by Customs Street","-36.84554","174.7679","Auckland Central Auckland 1010 New Zealand","here","delete"
"Lime Thai","-36.85152","174.76385","Auckland Central Auckland 1010 New Zealand","here","restaurant"
"The White Rabbit","-36.8455","174.76897","Auckland Central Auckland 1010 New Zealand","here","restaurant"
"First Steps Parnell","-36.84923","174.77687","Parnell Auckland 1052 New Zealand","here","education"
"Sushi Edge","-36.85468","174.73167","Westmere Auckland 1022 New Zealand","here","restaurant"
"The North Face","-36.84621","174.76636","Auckland Central Auckland 1010 New Zealand","here","shop"
"Te Taou Reserve","-36.848053","174.775128","Auckland Central Auckland 1010 New Zealand","here","activities"
"Japan External Trade Organisation","-36.84992","174.76286","Auckland Central Auckland 1010 New Zealand","here","government"
"The Bluestone Room","-36.84756","174.76462","Auckland Central Auckland 1010 New Zealand","here","restaurant"
"Arcadia Book Store","-36.86934","174.776699","Newmarket Auckland 1023 New Zealand","here","shop"
"Lime Thai","-36.85152","174.76385","Auckland Central Auckland 1010 New Zealand","here","restaurant"
"Labtests","-36.8436","174.76741","Auckland Central Auckland 1010 New Zealand","here","medical"
"Sal's Pizza","-36.85067","174.76439","Auckland Central Auckland 1010 New Zealand","here","restaurant"
"A2b Car Rentals","-36.85115","174.77496","Auckland Central Auckland 1010 New Zealand","here","car"
